Sample__ID,Landcover,Hill__side,Scientific__name,Common_name_species,DBH (cm),Height (m),Native,Lat_ID,Long_ID
O4NB,24 years old,N,Artocarpus blancoi,Antipolo,5.5,NA,N,11.598297,124.5453
O4NB,24 years old,N,Macaranga tanarius (Linn.),Minonga,6.9,NA,N,11.598297,124.5453
O4NB,24 years old,N,Alstonia scholaris,Dita,5.7,NA,N,11.598297,124.5453
O4NB,24 years old,N,Alstonia scholaris,Dita,5.3,NA,N,11.598297,124.5453
O4NB,24 years old,N,Macaranga tanarius (Linn.),Minonga,14.9,NA,N,11.598297,124.5453
O4NB,24 years old,N,Artocarpus nitidus (A. lamellosus) ,Kubi,7.1,NA,N,11.598297,124.5453
O4NB,24 years old,N,Artocarpus nitidus (A. lamellosus) ,Kubi,6.5,NA,N,11.598297,124.5453
O4NB,24 years old,N,Mallotus mollissimus ,Hanom-o,23.5,11.5,N,11.598297,124.5453
O4NB,24 years old,N,Mallotus mollissimus ,Hanom-o,11.2,12.5,N,11.598297,124.5453
O4NB,24 years old,N,Artocarpus blancoi,Antipolo,16.7,12.8,N,11.598297,124.5453
O4NB,24 years old,N,Acacia mangium,Mangium,60.5,11.3,E,11.598297,124.5453
O4NB,24 years old,N,Homalanthus populneus,Balanti,6.5,NA,N,11.598297,124.5453
O4NB,24 years old,N,Pipturus arborescens,Dalunot,5.8,NA,N,11.598297,124.5453
O4NB,24 years old,N,Artocarpus blancoi,Antipolo,16.7,NA,N,11.598297,124.5453
R1SB,Remnant,S,Ficus pseudopalma,Lubi lubi palm,11.2,NA,N,11.598539,124.538384
R1SB,Remnant,S,Myristica philippinensis,Duguan,11.2,NA,N,11.598539,124.538384
R1SB,Remnant,S,Sindora Supa,Supa,9.8,NA,N,11.598539,124.538384
R1SB,Remnant,S,Cinnamomum mercadoi,Kalingan,10,NA,N,11.598539,124.538384
R1SB,Remnant,S,Caryota rumphiana,Pugahan,30,29.9,E,11.598539,124.538384
R1SB,Remnant,S,Cinnamomum mercadoi,Kalingan,9,NA,N,11.598539,124.538384
R1SB,Remnant,S,Lithocarpus celebicus,Ulaian,22.7,NA,N,11.598539,124.538384
R1SB,Remnant,S,Diplodiscus paniculatus,Balubo,8.4,NA,N,11.598539,124.538384
