Sample__ID,Landcover,Hill_side,Scientific__name,Common_name_species,Native,Lat_ID,Long_ID
R1SB,Remnant,S,Alstonia scholaris,Dita,N,HIDED,HIDED
R1SB,Remnant,S,Vitex quinate ,Kulipapa,N,HIDED,HIDED
R1SB,Remnant,S,Ficus pseudopalma,Lubi lubi palm,N,HIDED,HIDED
R1SB,Remnant,S,Lithocarpus celebicus,Ulaian,N,HIDED,HIDED
R1SB,Remnant,S,Vitex quinate ,Kulipapa,N,HIDED,HIDED
R1SB,Remnant,S,Glochidion camiguinense ,Bunot,N,HIDED,HIDED
R1SB,Remnant,S,Lithocarpus celebicus,Ulaian,N,HIDED,HIDED
R1SB,Remnant,S,Lithocarpus celebicus,Ulaian,N,HIDED,HIDED
R1SB,Remnant,S,Lithocarpus celebicus,Ulaian,N,HIDED,HIDED
R1SB,Remnant,S,Lithocarpus celebicus,Ulaian,N,HIDED,HIDED
R1SB,Remnant,S,Lithocarpus celebicus,Ulaian,N,HIDED,HIDED
R1SB,Remnant,S,Cratoxylum sumatranum,Paguringon,N,HIDED,HIDED
R1SB,Remnant,S,Morinda citrifolia,Noni,E,HIDED,HIDED
R1SB,Remnant,S,Lithocarpus celebicus,Ulaian,N,HIDED,HIDED
R1SB,Remnant,S,Morinda citrifolia,Noni,E,HIDED,HIDED
R1SB,Remnant,S,Vitex quinate ,Kulipapa,N,HIDED,HIDED
R1SB,Remnant,S,Vitex quinate ,Kulipapa,N,HIDED,HIDED
R1SB,Remnant,S,Calophyllum blancoi,Bitang hol,N,HIDED,HIDED
R1SB,Remnant,S,Lithocarpus celebicus,Ulaian,N,HIDED,HIDED
R1SB,Remnant,S,Vitex quinate ,Kulipapa,N,HIDED,HIDED
R1SB,Remnant,S,Lithocarpus celebicus,Ulaian,N,HIDED,HIDED
R1SB,Remnant,S,Lithocarpus celebicus,Ulaian,N,HIDED,HIDED
R1SB,Remnant,S,Myristica philippinensis,Duguan,N,HIDED,HIDED
R2NB,Remnant,N,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,N,HIDED,HIDED
R2NB,Remnant,N,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,N,HIDED,HIDED
R2NB,Remnant,N,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,N,HIDED,HIDED
R2NB,Remnant,N,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,N,HIDED,HIDED
R2NB,Remnant,N,Leucyosyke capitellata,Anagasi,N,HIDED,HIDED
R2NB,Remnant,N,Pipturus arborescens,Dalunot,N,HIDED,HIDED
R2NB,Remnant,N,Dendrocnide meyeniana,Lipang kalaban,N,HIDED,HIDED
R2NB,Remnant,N,Pipturus arborescens,Dalunot,N,HIDED,HIDED
R2NB,Remnant,N,Dendrocnide meyeniana,Lipang kalaban,N,HIDED,HIDED
R2NB,Remnant,N,Pipturus arborescens,Dalunot,N,HIDED,HIDED
R2NB,Remnant,N,Pipturus arborescens,Dalunot,N,HIDED,HIDED
R2NB,Remnant,N,Pipturus arborescens,Dalunot,N,HIDED,HIDED
R2NB,Remnant,N,Dendrocnide meyeniana,Lipang kalaban,N,HIDED,HIDED
R2NB,Remnant,N,Dendrocnide meyeniana,Lipang kalaban,N,HIDED,HIDED
R2NB,Remnant,N,Pipturus arborescens,Dalunot,N,HIDED,HIDED
